emotion,i2p_chunk_recall,i2p_stage1_recall,i2p_stage2_recall,p2i_chunk_recall,p2i_stage1_recall,p2i_stage2_recall,iemocap_in_corpus_recall,degrade_acted_to_natural_vs_in_corpus,improve_stage1_i2p,hurt_stage2_vs_stage1_i2p,hurt_stage2_vs_stage1_p2i
angry,0.7508333333333334,0.6825,0.805,0.5903083700440529,0.5330396475770925,0.5374449339207048,0.5110132158590308,0.23982011747430254,-0.06833333333333336,0.12250000000000005,0.004405286343612258
happy,0.3983333333333333,0.5075,0.12166666666666667,0.2975778546712803,0.328719723183391,0.2975778546712803,0.698961937716263,-0.3006286043829297,0.10916666666666663,-0.38583333333333325,-0.031141868512110704
sad,0.015,0.015833333333333335,0.016666666666666666,0.4456140350877193,0.41754385964912283,0.3298245614035088,0.5859649122807018,-0.5709649122807018,0.0008333333333333352,0.0008333333333333318,-0.08771929824561403
neutral,0.2816666666666667,0.26916666666666667,0.4583333333333333,0.3713450292397661,0.3567251461988304,0.4152046783625731,0.22807017543859648,0.0535964912280702,-0.012500000000000011,0.18916666666666665,0.05847953216374269
