experiment,in_domain_reference_uar,cross_domain_uar,generalization_gap,retention_ratio
iemocap_to_podcast_meanpool,0.4775702807593398,0.363125,0.11444528075933985,0.7603592908307211
iemocap_to_podcast_attnpool,0.5165280604679237,0.343125,0.17340306046792364,0.6642911126438368
iemocap_to_podcast_chunk,0.506002560323648,0.3614583333333333,0.14454422699031466,0.7143409177655906
podcast_to_iemocap_meanpool,0.5058333333333334,0.4028838450816104,0.10294948825172295,0.7964754762733648
podcast_to_iemocap_attnpool,0.5104166666666666,0.4147063280606997,0.09571033860596695,0.8124858672209627
podcast_to_iemocap_chunk,0.5095833333333333,0.4262113222607047,0.0833720110726286,0.8363918016563298
