model_variant,source_fraction,experiment,test_uar,test_wa,test_macro_f1,delta_vs_plain_chunk,delta_vs_stage1_full
chunk,0.25,iemocap_to_podcast_chunk_srcfrac25,0.334375,0.334375,0.2816104010312692,-0.027083333333333348,
chunk,0.5,iemocap_to_podcast_chunk_srcfrac50,0.3772916666666667,0.3772916666666667,0.3165704810144895,0.015833333333333366,
chunk,1.0,iemocap_to_podcast_chunk,0.3614583333333333,0.3614583333333333,0.3031986771639473,0.0,
chunk_domain_utt,0.25,iemocap_to_podcast_chunk_domain_utt_srcfrac25,0.3191666666666666,0.3191666666666666,0.2608667524724831,-0.04229166666666673,-0.049583333333333424
chunk_domain_utt,0.5,iemocap_to_podcast_chunk_domain_utt_srcfrac50,0.3685416666666666,0.3685416666666666,0.3188951279810169,0.007083333333333275,-0.0002083333333334214
chunk_domain_utt,1.0,iemocap_to_podcast_chunk_domain_utt,0.36875,0.36875,0.3123457727794323,0.007291666666666696,0.0
