experiment,training_setup,source_domain,target_domain,model_variant,test_uar,test_wa,test_macro_f1,absolute_gain_vs_plain_chunk
iemocap_to_podcast_chunk,single_source_cross_corpus,iemocap,podcast,plain_chunk,0.3614583333333333,0.3614583333333333,0.3031986771639473,0.0
iemocap_to_podcast_chunk_domain_utt,single_source_cross_corpus_uda,iemocap,podcast,chunk_domain_utt,0.36875,0.36875,0.3123457727794323,0.007291666666666696
podcast_to_iemocap_chunk,single_source_cross_corpus,podcast,iemocap,plain_chunk,0.4262113222607047,0.39106145251396646,0.3929999829109791,0.0
podcast_to_iemocap_chunk_domain_utt,single_source_cross_corpus_uda,podcast,iemocap,chunk_domain_utt,0.4090070941521092,0.3854748603351955,0.38737291250045613,-0.017204228108595476
iemocap_plus_cremad_to_podcast_chunk,multi_source_cross_corpus,iemocap+crema_d,podcast,plain_chunk,0.34645833333333337,0.3464583333333333,0.3018444602100089,0.0
iemocap_plus_cremad_to_podcast_chunk_domain_utt,multi_source_cross_corpus_domain_adversarial,iemocap+crema_d,podcast,chunk_domain_utt,0.35020833333333334,0.35020833333333334,0.30840800036403804,0.0037499999999999756
