experiment,mean_uar,std_uar,mean_wa,std_wa,mean_macro_f1,std_macro_f1,seed_list_found,num_successful_runs_found
iemocap_to_podcast_chunk,0.3592361111111111,0.0045336107622082,0.3592361111111111,0.0045336107622082,0.302488435978762,0.008199047534019762,"42,7,13",3
iemocap_to_podcast_chunk_domain_utt,0.3717361111111111,0.0021938290276293086,0.3717361111111111,0.0021938290276293216,0.319043054952908,0.005049841961856219,"42,7,13",3
podcast_to_iemocap_chunk,0.41190958987487464,0.010504214500954666,0.38035381750465547,0.0077622588456857525,0.38270021756295886,0.007998490339792651,"42,7,13",3
podcast_to_iemocap_chunk_domain_utt,0.39111222552907665,0.016236282091531905,0.36405959031657353,0.01829318687559451,0.36532312505962256,0.0162346055201452,"42,7,13",3
