experiment,ablation_variant,utterance_domain_loss_weight,chunk_domain_loss_weight,test_uar,test_wa,test_macro_f1,absolute_gain_vs_plain_chunk,absolute_gain_vs_chunk_domain_utt,absolute_gain_vs_chunk_domain_both_default
iemocap_to_podcast_chunk,plain_chunk,0.0,0.0,0.3614583333333333,0.3614583333333333,0.3031986771639473,0.0,-0.007291666666666696,0.011041666666666617
iemocap_to_podcast_chunk_domain_utt,chunk_domain_utt,1.0,0.0,0.36875,0.36875,0.3123457727794323,0.007291666666666696,0.0,0.018333333333333313
iemocap_to_podcast_chunk_domain_both,chunk_domain_both_default,1.0,1.0,0.3504166666666667,0.35041666666666665,0.2749126137085372,-0.011041666666666617,-0.018333333333333313,0.0
iemocap_to_podcast_chunk_domain_both_chunk_only_w01,chunk_only_w01,0.0,0.1,0.3429166666666667,0.34291666666666665,0.2684236218181383,-0.018541666666666623,-0.02583333333333332,-0.007500000000000007
iemocap_to_podcast_chunk_domain_both_chunk_only_w03,chunk_only_w03,0.0,0.3,0.34291666666666665,0.34291666666666665,0.2682847810198396,-0.01854166666666668,-0.025833333333333375,-0.007500000000000062
iemocap_to_podcast_chunk_domain_both_chunk_only_w05,chunk_only_w05,0.0,0.5,0.3433333333333333,0.3433333333333333,0.26850548675867836,-0.018124999999999995,-0.025416666666666698,-0.007083333333333358
iemocap_to_podcast_chunk_domain_both_both_weakchunk,both_weakchunk,1.0,0.1,0.35083333333333333,0.35083333333333333,0.2758783198818606,-0.010624999999999996,-0.017916666666666692,0.0004166666666666208
iemocap_to_podcast_chunk_domain_both_both_midchunk,both_midchunk,1.0,0.3,0.35041666666666665,0.35041666666666665,0.2754128469181929,-0.011041666666666672,-0.018333333333333368,-5.551115123125783e-17
