model_variant,source_fraction,experiment,test_uar,test_wa,test_macro_f1
chunk,0.25,iemocap_to_podcast_chunk_srcfrac25,0.334375,0.334375,0.2816104010312692
chunk,0.5,iemocap_to_podcast_chunk_srcfrac50,0.3772916666666667,0.3772916666666667,0.3165704810144895
chunk,1.0,iemocap_to_podcast_chunk,0.3614583333333333,0.3614583333333333,0.3031986771639473
chunk_domain_utt,0.25,iemocap_to_podcast_chunk_domain_utt_srcfrac25,0.3191666666666666,0.3191666666666666,0.2608667524724831
chunk_domain_utt,0.5,iemocap_to_podcast_chunk_domain_utt_srcfrac50,0.3685416666666666,0.3685416666666666,0.3188951279810169
chunk_domain_utt,1.0,iemocap_to_podcast_chunk_domain_utt,0.36875,0.36875,0.3123457727794323
