experiment,seeds,mean_test_uar,std_test_uar,mean_test_wa,std_test_wa,mean_test_macro_f1,std_test_macro_f1
iemocap_to_podcast_chunk,"42,7,13",0.3592361111111111,0.005552516529900206,0.3592361111111111,0.005552516529900206,0.302488435978762,0.010041741417586557
iemocap_to_podcast_chunk_domain_utt,"42,7,13",0.3717361111111111,0.0026868808502989922,0.3717361111111111,0.0026868808502990083,0.319043054952908,0.0061847680441214446
podcast_to_iemocap_chunk,"42,7,13",0.41190958987487464,0.012864982838041387,0.38035381750465547,0.00950678671166762,0.38270021756295886,0.009796110022536216
podcast_to_iemocap_chunk_domain_utt,"42,7,13",0.39111222552907665,0.019885303222070803,0.36405959031657353,0.0224044868072923,0.36532312505962256,0.019883249849863414
