label,experiment,ablation_variant,utterance_domain_loss_weight,chunk_domain_loss_weight,test_uar,test_wa,test_macro_f1,absolute_gain_vs_plain_chunk,absolute_gain_vs_chunk_domain_utt,absolute_gain_vs_chunk_domain_both_default,delta_vs_stage1
Baseline,iemocap_to_podcast_chunk,plain_chunk,0.0,0.0,0.3614583333333333,0.3614583333333333,0.3031986771639473,0.0,-0.0072916666666666,0.0110416666666666,-0.007291666666666696
Stage 1,iemocap_to_podcast_chunk_domain_utt,chunk_domain_utt,1.0,0.0,0.36875,0.36875,0.3123457727794323,0.0072916666666666,0.0,0.0183333333333333,0.0
Stage 2,iemocap_to_podcast_chunk_domain_both,chunk_domain_both_default,1.0,1.0,0.3504166666666667,0.3504166666666666,0.2749126137085372,-0.0110416666666666,-0.0183333333333333,0.0,-0.018333333333333313
both_weakchunk,iemocap_to_podcast_chunk_domain_both_both_weakchunk,both_weakchunk,1.0,0.1,0.3508333333333333,0.3508333333333333,0.2758783198818606,-0.0106249999999999,-0.0179166666666666,0.0004166666666666,-0.017916666666666747
both_midchunk,iemocap_to_podcast_chunk_domain_both_both_midchunk,both_midchunk,1.0,0.3,0.3504166666666666,0.3504166666666666,0.2754128469181929,-0.0110416666666666,-0.0183333333333333,-5.551115123125783e-17,-0.018333333333333424
chunk_only_w01,iemocap_to_podcast_chunk_domain_both_chunk_only_w01,chunk_only_w01,0.0,0.1,0.3429166666666667,0.3429166666666666,0.2684236218181383,-0.0185416666666666,-0.0258333333333333,-0.0075,-0.02583333333333332
chunk_only_w03,iemocap_to_podcast_chunk_domain_both_chunk_only_w03,chunk_only_w03,0.0,0.3,0.3429166666666666,0.3429166666666666,0.2682847810198396,-0.0185416666666666,-0.0258333333333333,-0.0075,-0.02583333333333343
chunk_only_w05,iemocap_to_podcast_chunk_domain_both_chunk_only_w05,chunk_only_w05,0.0,0.5,0.3433333333333333,0.3433333333333333,0.2685054867586783,-0.0181249999999999,-0.0254166666666666,-0.0070833333333333,-0.0254166666666667
