x,y,domain,emotion
33.17357635498047,-31.72477912902832,source,neutral
35.2800407409668,-31.22956085205078,source,neutral
-41.91720962524414,-3.7117044925689697,source,neutral
-29.43026351928711,-21.18216896057129,source,neutral
-16.766551971435547,-7.399123668670654,source,neutral
-10.667097091674805,-8.197590827941895,source,neutral
-11.373074531555176,-8.216161727905273,source,angry
-0.8441874384880066,9.986882209777832,source,neutral
5.039031982421875,38.329830169677734,source,angry
-0.18851137161254883,17.182369232177734,source,angry
-49.44790267944336,0.7722762227058411,source,sad
48.37699890136719,-22.397048950195312,source,sad
-46.765464782714844,6.851998329162598,source,sad
-46.61301803588867,6.966372966766357,source,neutral
-47.159175872802734,0.5731725096702576,source,sad
-44.65426254272461,-3.1295409202575684,source,sad
-42.62589645385742,8.368927001953125,source,neutral
-5.584156513214111,33.868568420410156,source,sad
-48.12497329711914,3.056382417678833,source,sad
-48.66854476928711,1.5115442276000977,source,sad
-48.903465270996094,1.1792774200439453,source,sad
-45.45161056518555,-2.4452850818634033,source,sad
-45.38016891479492,-2.1154534816741943,source,sad
-42.01958465576172,8.632969856262207,source,sad
-42.489097595214844,7.959391117095947,source,sad
-42.49306869506836,-3.0030481815338135,source,sad
-37.26807403564453,-10.156282424926758,source,neutral
-8.150288581848145,35.299381256103516,source,sad
-47.19913101196289,4.188521385192871,source,neutral
-47.6086540222168,1.9119073152542114,source,sad
-45.07758712768555,-0.25451600551605225,source,sad
-46.227054595947266,-5.770534038543701,source,sad
-43.44279861450195,3.5157573223114014,source,sad
-40.692745208740234,-5.572087287902832,source,sad
-33.76375198364258,1.6194835901260376,source,sad
-44.51177978515625,0.5232201814651489,source,sad
-48.84178161621094,-4.849820137023926,source,angry
-40.12287139892578,-9.50098705291748,source,sad
42.48412322998047,-35.01007080078125,source,sad
47.24877166748047,-21.306617736816406,source,sad
-44.2044792175293,2.841383218765259,source,neutral
-42.9767951965332,-1.4800587892532349,source,sad
-44.081024169921875,2.302387237548828,source,sad
-24.692073822021484,-26.962160110473633,source,neutral
-21.433652877807617,-11.779043197631836,source,happy
-21.750930786132812,-10.908899307250977,source,happy
-6.875045299530029,-17.146591186523438,source,happy
-11.426572799682617,17.055438995361328,source,happy
-9.754603385925293,5.214478492736816,source,happy
-14.220410346984863,-15.080784797668457,source,happy
-9.267317771911621,26.738317489624023,source,happy
-6.003354072570801,31.0515193939209,source,happy
8.608123779296875,10.896891593933105,source,happy
-11.466797828674316,-23.39402198791504,source,happy
-7.0205397605896,-17.000816345214844,source,happy
-12.245474815368652,-6.5654096603393555,source,happy
-14.653637886047363,-10.758996963500977,source,happy
-6.062636852264404,21.576791763305664,source,happy
-5.481781482696533,30.03749656677246,source,happy
-13.059812545776367,17.614280700683594,source,happy
-19.268056869506836,-13.17066478729248,source,happy
-15.135940551757812,-5.508791446685791,source,neutral
-5.093591690063477,32.480140686035156,source,neutral
-28.755855560302734,-19.58580207824707,source,neutral
-19.78860092163086,-20.880292892456055,source,happy
-6.523721694946289,28.904600143432617,source,happy
-30.64797019958496,-10.932331085205078,source,neutral
-19.089317321777344,18.359071731567383,source,happy
-4.832215785980225,9.744351387023926,source,happy
-9.20934009552002,33.85673904418945,source,happy
-28.855785369873047,-2.6889359951019287,source,neutral
-23.93254280090332,-12.963953971862793,source,neutral
-13.113892555236816,9.88426399230957,source,happy
-10.429946899414062,0.9352505803108215,source,happy
-28.942359924316406,-12.127314567565918,source,happy
-18.255382537841797,-12.647196769714355,source,neutral
-13.434962272644043,-4.844822883605957,source,happy
39.7320442199707,-32.24300003051758,source,neutral
-14.30408763885498,35.7097053527832,source,neutral
-7.646851062774658,-16.888179779052734,source,happy
-5.865298271179199,17.57520866394043,source,neutral
-13.208803176879883,32.52449035644531,source,happy
-11.674433708190918,-3.567805767059326,source,happy
-14.924836158752441,16.570276260375977,source,happy
-12.36754035949707,-5.3490071296691895,source,happy
-17.89057731628418,-12.302719116210938,source,neutral
