label,experiment,seeds,mean_test_uar,std_test_uar,mean_test_wa,std_test_wa,mean_test_macro_f1,std_test_macro_f1
IEMOCAP→PODCAST Baseline,iemocap_to_podcast_chunk,"42,7,13",0.3592361111111111,0.0055525165299002,0.3592361111111111,0.0055525165299002,0.302488435978762,0.0100417414175865
IEMOCAP→PODCAST Stage 1,iemocap_to_podcast_chunk_domain_utt,"42,7,13",0.3717361111111111,0.0026868808502989,0.3717361111111111,0.002686880850299,0.319043054952908,0.0061847680441214
PODCAST→IEMOCAP Baseline,podcast_to_iemocap_chunk,"42,7,13",0.4119095898748746,0.0128649828380413,0.3803538175046554,0.0095067867116676,0.3827002175629588,0.0097961100225362
PODCAST→IEMOCAP Stage 1,podcast_to_iemocap_chunk_domain_utt,"42,7,13",0.3911122255290766,0.0198853032220708,0.3640595903165735,0.0224044868072923,0.3653231250596225,0.0198832498498634
