experiment,source_domain,target_domain,utterance_domain_loss_weight,chunk_domain_loss_weight,test_uar,test_wa,test_macro_f1,gain_vs_plain_chunk,gain_vs_stage1_domain_utt,rank_by_uar
iemocap_to_podcast_chunk_domain_utt,iemocap,podcast,1.0,0.0,0.36875,0.36875,0.3123457727794323,0.0072916666666666,0.0,1
iemocap_to_podcast_chunk,iemocap,podcast,0.0,0.0,0.3614583333333333,0.3614583333333333,0.3031986771639473,0.0,-0.0072916666666666,2
iemocap_to_podcast_chunk_domain_both_both_weakchunk,iemocap,podcast,1.0,0.1,0.3508333333333333,0.3508333333333333,0.2758783198818606,-0.0106249999999999,-0.0179166666666666,3
iemocap_to_podcast_chunk_domain_both,iemocap,podcast,1.0,1.0,0.3504166666666667,0.3504166666666666,0.2749126137085372,-0.0110416666666666,-0.0183333333333333,4
iemocap_to_podcast_chunk_domain_both_both_midchunk,iemocap,podcast,1.0,0.3,0.3504166666666666,0.3504166666666666,0.2754128469181929,-0.0110416666666666,-0.0183333333333333,5
iemocap_to_podcast_chunk_domain_both_chunk_only_w05,iemocap,podcast,0.0,0.5,0.3433333333333333,0.3433333333333333,0.2685054867586783,-0.0181249999999999,-0.0254166666666666,6
iemocap_to_podcast_chunk_domain_both_chunk_only_w01,iemocap,podcast,0.0,0.1,0.3429166666666667,0.3429166666666666,0.2684236218181383,-0.0185416666666666,-0.0258333333333333,7
iemocap_to_podcast_chunk_domain_both_chunk_only_w03,iemocap,podcast,0.0,0.3,0.3429166666666666,0.3429166666666666,0.2682847810198396,-0.0185416666666666,-0.0258333333333333,8
