experiment,corpus,pooling_type,test_uar,test_wa,test_macro_f1,best_dev_uar,test_num_samples,source_file_used,source_file_path
iemocap_in_corpus_attnpool,IEMOCAP,AttnPool,0.5165,0.5000,0.5089,0.4936,1432,summary.csv,/home/mmr/emo_paper/ser_project/exp/iemocap_in_corpus_attnpool/summary.csv
iemocap_in_corpus_chunk,IEMOCAP,Chunk,0.5060,0.5342,0.5055,0.4851,1432,summary.csv,/home/mmr/emo_paper/ser_project/exp/iemocap_in_corpus_chunk/summary.csv
iemocap_in_corpus_meanpool,IEMOCAP,MeanPool,0.4776,0.5091,0.4823,0.4578,1432,summary.csv,/home/mmr/emo_paper/ser_project/exp/iemocap_in_corpus_meanpool/summary.csv
podcast_in_corpus_attnpool,PODCAST,AttnPool,0.5104,0.5104,0.5063,0.5115,4800,summary.csv,/home/mmr/emo_paper/ser_project/exp/podcast_in_corpus_attnpool/summary.csv
podcast_in_corpus_chunk,PODCAST,Chunk,0.5096,0.5096,0.5036,0.4990,4800,summary.csv,/home/mmr/emo_paper/ser_project/exp/podcast_in_corpus_chunk/summary.csv
podcast_in_corpus_meanpool,PODCAST,MeanPool,0.5058,0.5058,0.4958,0.5025,4800,summary.csv,/home/mmr/emo_paper/ser_project/exp/podcast_in_corpus_meanpool/summary.csv
