x,y,domain,emotion
45.75111770629883,-10.414175033569336,source,neutral
47.7235221862793,-10.271601676940918,source,neutral
-9.096081733703613,43.71515655517578,source,neutral
5.747806072235107,31.708850860595703,source,neutral
-24.317001342773438,15.272482872009277,source,neutral
-17.375530242919922,11.529731750488281,source,neutral
-27.651643753051758,9.380619049072266,source,angry
-19.92609405517578,10.12437629699707,source,neutral
-32.95744705200195,-34.712608337402344,source,angry
-23.14881134033203,-4.4094343185424805,source,angry
-18.403390884399414,44.967689514160156,source,sad
58.595947265625,4.854254722595215,source,sad
-22.58182716369629,41.44144821166992,source,sad
-22.694107055664062,41.28855895996094,source,neutral
-17.191123962402344,43.59654235839844,source,sad
-11.698027610778809,43.58599853515625,source,sad
-24.942180633544922,33.980594635009766,source,neutral
-32.04557800292969,4.533016204833984,source,sad
-19.130340576171875,41.61677169799805,source,sad
-18.900392532348633,43.64263153076172,source,sad
-18.779476165771484,44.178955078125,source,sad
-12.940507888793945,43.62734603881836,source,sad
-13.21641731262207,43.481903076171875,source,sad
-25.696434020996094,33.78569412231445,source,sad
-25.42622947692871,34.406494140625,source,sad
-10.102019309997559,43.585208892822266,source,sad
-4.4355573654174805,38.052738189697266,source,neutral
-34.542659759521484,5.1869215965271,source,sad
-20.108013153076172,42.26176834106445,source,neutral
-17.47726058959961,42.13373565673828,source,sad
-15.778076171875,42.10027313232422,source,sad
-12.38093376159668,46.350128173828125,source,sad
-16.6629638671875,38.13539505004883,source,sad
-8.95107364654541,38.0666618347168,source,sad
-15.672636032104492,33.219093322753906,source,sad
-15.061214447021484,41.467864990234375,source,sad
-14.333053588867188,48.05489730834961,source,angry
-4.306240081787109,35.593170166015625,source,sad
51.09490203857422,-3.393486499786377,source,sad
57.45728302001953,6.177487373352051,source,sad
-15.376757621765137,38.50697326660156,source,neutral
-12.431021690368652,40.97908401489258,source,sad
-14.14167594909668,38.592559814453125,source,sad
13.46894359588623,29.972286224365234,source,neutral
4.003425121307373,15.104033470153809,source,happy
-6.342164993286133,14.782977104187012,source,happy
8.916553497314453,11.196742057800293,source,happy
-4.663146495819092,4.2784104347229,source,happy
-6.597285747528076,-2.0547032356262207,source,happy
4.8180365562438965,9.107706069946289,source,happy
-31.321840286254883,-13.54903793334961,source,happy
-23.58568572998047,-6.053627967834473,source,happy
-11.70984935760498,-6.863412857055664,source,happy
13.723638534545898,12.024185180664062,source,happy
7.740419387817383,10.79633617401123,source,happy
-3.619823932647705,10.034772872924805,source,happy
-17.436800003051758,12.371016502380371,source,happy
-24.90057373046875,-6.836695194244385,source,happy
-34.45226287841797,1.9440594911575317,source,happy
-5.410775661468506,4.291587829589844,source,happy
-0.23399871587753296,21.079744338989258,source,happy
-5.056215763092041,10.208438873291016,source,neutral
-36.46772003173828,2.5893352031707764,source,neutral
6.273849010467529,30.307960510253906,source,neutral
12.016451835632324,24.071142196655273,source,happy
-30.379417419433594,-16.161575317382812,source,happy
0.013335858471691608,26.77957534790039,source,neutral
-17.565603256225586,6.895230293273926,source,happy
-6.431318759918213,3.6796865463256836,source,happy
-33.42198944091797,2.9139437675476074,source,happy
-10.033171653747559,25.065298080444336,source,neutral
-8.862700462341309,28.623132705688477,source,neutral
-5.575870513916016,4.7036213874816895,source,happy
3.5651040077209473,6.745089054107666,source,happy
1.0892406702041626,28.865880966186523,source,happy
2.1561365127563477,20.373891830444336,source,neutral
-7.401916027069092,11.272138595581055,source,happy
52.32353591918945,-7.069291591644287,source,neutral
-30.55982208251953,-0.3887338936328888,source,neutral
5.173110008239746,14.847970008850098,source,happy
-27.687328338623047,-5.362783908843994,source,neutral
-30.876537322998047,-2.549484968185425,source,happy
5.487664699554443,7.394364833831787,source,happy
-24.159557342529297,1.12993323802948,source,happy
-6.006842613220215,11.406185150146484,source,happy
2.6007800102233887,20.143457412719727,source,neutral
-29.95921516418457,-0.7624853849411011,source,neutral
-31.171371459960938,0.7659475803375244,source,neutral
-20.986486434936523,22.023319244384766,source,neutral
2.379775047302246,22.763530731201172,source,happy
-18.632709503173828,6.216910362243652,source,happy
-11.892943382263184,25.266862869262695,source,neutral
-36.04444122314453,1.8515229225158691,source,neutral
-35.8618049621582,1.188223123550415,source,neutral
-14.260994911193848,48.1201057434082,source,neutral
-30.68429183959961,13.967806816101074,source,neutral
0.6534615755081177,38.11244201660156,source,neutral
-31.244585037231445,4.359246730804443,source,neutral
-17.157289505004883,-3.485383987426758,source,neutral
20.690404891967773,28.927013397216797,source,neutral
-34.618568420410156,2.430020809173584,source,angry
-6.633981227874756,17.944320678710938,source,angry
-28.39288902282715,17.194087982177734,source,angry
-8.279175758361816,-16.230079650878906,source,angry
-12.835771560668945,-6.5444560050964355,source,angry
2.354128837585449,10.132521629333496,source,angry
-33.57548141479492,3.640399694442749,source,angry
-12.281988143920898,41.43369674682617,source,neutral
55.209842681884766,-5.579391956329346,source,neutral
-7.355442047119141,40.84442901611328,source,neutral
48.2491455078125,-7.960257530212402,source,neutral
-18.236967086791992,29.8223819732666,source,neutral
0.4254629909992218,27.888591766357422,source,neutral
-9.196124076843262,37.11357879638672,source,neutral
48.8190803527832,-8.259958267211914,source,neutral
60.943809509277344,2.931929588317871,source,neutral
17.2713623046875,18.707700729370117,source,neutral
69.35356140136719,7.508500576019287,source,neutral
-0.013009106740355492,27.7564697265625,source,neutral
-11.462090492248535,35.15217208862305,source,neutral
-9.787845611572266,41.889617919921875,source,neutral
-31.988521575927734,0.18094728887081146,source,neutral
-28.70831298828125,-5.194252014160156,source,neutral
-11.6620454788208,34.23396682739258,source,neutral
17.21603012084961,19.24131965637207,source,neutral
-21.424531936645508,26.04731559753418,source,neutral
55.50829315185547,-6.060392379760742,source,neutral
